Model,item_upc,quantity,Products_price
1019,073096500235,4,1.9
1037,10039800019193,17,18.22
6012,176554006277,21,9
6022,825156107898,12,4.5
6029,847878000325,4,12.5
6032,825156107690,5,8.5
6034,685634100526,45,13.2
6046,847878000288,11,22.5
6058,825156107485,7,13.5
6059,825156107492,22,15
6062,176554005805,8,11.25
6065,825156107607,20,4.5
6073,685634100441,1,13.2
6076,825156107201,26,5
6084,825156106884,0,7.5
6109,825156106990,18,5
6155,685634001045,3,13.2
6160,9780811859417,81,10.83
6238,825156104385,5,4.5
6240,825156102664,1,10
6258,825156102398,32,8.5
6263,825156102343,19,4.5
6264,825156102350,8,4.5
6267,825156102381,12,10
6271,176554005379,15,9
6289,176554005232,19,7.92
6293,825156100639,30,4.5
6301,825156031209,6,11
6389,825156104255,47,4.5
6469,9781890159382,0,17.98
6492,9781890159191,21,10.9
6505,9781890159115,6,7.69
6558,5022782000936,32,3.5
6605,818631020577,24,5
6687,348132100244,3765,10.45
6815,5022782088330,27,3
6816,5022782099442,26,3
6846,9781890159139,3,10.9
6861,9781402224546,25,7.72
6862,9781402224539,37,7.72
KS10010,739122000109,0,15
7415,740805150080,69,5.75
7567,740805250087,234,5.75
7568,740805228161,77,12.67
7588,685634100335,38,9.35
7753,879959004717,124,7
7850,825156102565,12,3.5
7851,825156102572,6,3.5
7969,5022782222666,85,7.9
7970,5022782333119,82,5.5
8011,818631022854,18,3.25
8047,818631022021,76,5
8165,9780940208377,4,11.53
8279,898788000998,57,6
8320,818631021628,16,6
8321,817717006467,15,3.85
8328,827160106362,34,9
8331,818631021574,24,2.7
8454,9780811853576,0,10.83
8458,9780811850742,50,3.97
1975-19BKEA,6768903842205,14,3.47
1975-19CLEA,6768903842106,11,3.47
1975-23BKEA,6768903846302,28,4.83
1975-25BK,6768903846609,14,6.04
1975-29BKEA,6768903842601,0,3.94
1975-29CLEA,6768903842502,9,3.94
1990-110,669729221105,6,6.384
1990-203,669729222034,5,4.424
1990-47,669729200476,3,7.147
1990-F2,669729340028,7,16.898
2007-21,669729411131,7,3.584
2007-84,669729410844,1,3.003
2007-98,669729410868,4,8.183
2008M,669729410226,4,1.358
2009S,669729410363,5,1.204
2029-01,836224001499,16,105
2029-02,836224006555,10,141.43
2029-77,834194001068,40,9.95
2029-90,836224005961,16,7.5
2029-91,836224005978,24,7.5
2036-02,803938969100,0,101.5
3177-1,817717006887,61,2.75
3177-900,817717009000,33,8.8
3177-935,817717009352,136,3.85
6009-R175,825156108185,21,4.5
6009-R176,825156108178,0,3.5
6010-03,825156108093,65,5
6018-02,176554006215,15,5.25
6018-03,176554006208,24,5.25
6018-05,176554006239,26,5.25
6018-06,176554006246,46,5.5
6029-02,847878001308,0,12.5
6029-03,847878001476,57,6
6029-04,847878001469,40,3.74
6036-02,825156109397,3,7.5
6038-02,825156107904,17,5
6084-02,825156108680,30,7.5
6126-02,825156106488,16,6
6160-03,9781452101736,31,8.55
6213-02,176554005423,0,12.5
6238-10,825156107218,16,5
6238SP,825156104064,38,4.5
6252-01,5037353000116,37,19
6257-02,825156107140,18,5
6258-02,825156109007,37,4.5
6258-20,825156107386,49,4.5
6258-50,825156107324,48,3.5
6301-02,825156107072,58,6
6389-02,825156108482,14,4.5
6389-20,825156107263,24,15
6389-41,825156107355,84,3
6389-43,825156107300,33,3.5
6389-51,825156107188,100,4
6389SP,825156102510,34,4.5
6556-06EA,817717001158,35,3
6560-99,818631021208,12,2.1
6564-9,817717005491,52,3
6593-51,818631021512,35,4.75
6593-52,818631021529,24,4.75
